Result	Lemma	Gender	Case	Tense	Voice	Mood	Person	Number	Gloss	Part	Chapter	Adverb/particle Type	Reference	Sense
ἐγένοντο	γίνομαι	-	-	aorist	middle	indicative	third person	plural	I become; it happens (3rd person sing.)	verb	4	-	Mt 11:20,Mt 11:21,Lk 23:12,Re 11:15,Re 11:19,Re 16:18	to happen (come about)
ἐγένοντο	γίνομαι	-	-	aorist	middle	indicative	third person	plural	I become; it happens (3rd person sing.)	verb	4	-	Ac 5:36,Re 8:5	to become (change)
ἐγένοντο	γίνομαι	-	-	aorist	middle	indicative	third person	plural	I become; it happens (3rd person sing.)	verb	4	-	Mk 9:6,Lk 13:2,Lk 13:4,Re 11:13	to become (condition)
ἐγένου	γίνομαι	-	-	aorist	middle	indicative	second person	singular	I become; it happens (3rd person sing.)	verb	4	-	Lk 19:17,Ro 11:17	to become (condition)
ἐγίνετο	γίνομαι	-	-	imperfect	either middle or passive	indicative	third person	singular	I become; it happens (3rd person sing.)	verb	4	-	Ac 2:43,Ac 2:43,Ac 5:12	to happen (come about)
ἐγεγόνει	γίνομαι	-	-	pluperfect	active	indicative	third person	singular	I become; it happens (3rd person sing.)	verb	4	-	Jn 6:17	to become (condition)
ἐγενήθη	γίνομαι	-	-	aorist	passive	indicative	third person	singular	I become; it happens (3rd person sing.)	verb	4	-	Ac 4:4	to be (quality)
ἐγενήθη	γίνομαι	-	-	aorist	passive	indicative	third person	singular	I become; it happens (3rd person sing.)	verb	4	-	Mt 21:42,Lk 18:23,Lk 20:17,Ro 16:2,1 Co 1:30,1 Co 15:10,2 Co 7:14,1 Th 1:5,1 Pe 2:7	to become (condition)
ἐγενήθη	γίνομαι	-	-	aorist	passive	indicative	third person	singular	I become; it happens (3rd person sing.)	verb	4	-	Mk 12:10,2 Co 3:7	to happen (come about)
ἐγενήθημεν	γίνομαι	-	-	aorist	passive	indicative	first person	plural	I become; it happens (3rd person sing.)	verb	4	-	1 Th 2:5	to arrive ⇔ happen
ἐγενήθημεν	γίνομαι	-	-	aorist	passive	indicative	first person	plural	I become; it happens (3rd person sing.)	verb	4	-	Ro 9:29,1 Co 4:9,1 Co 4:13,1 Th 1:5,1 Th 2:7,1 Th 2:10	to become (condition)
ἐγενήθην	γίνομαι	-	-	aorist	passive	indicative	first person	singular	I become; it happens (3rd person sing.)	verb	4	-	Eph 3:7	to become (condition)
ἐγενήθησάν	γίνομαι	-	-	aorist	passive	indicative	third person	plural	I become; it happens (3rd person sing.)	verb	4	-	Col 4:11	to become (condition)
ἐγενήθησαν	γίνομαι	-	-	aorist	passive	indicative	third person	plural	I become; it happens (3rd person sing.)	verb	4	-	Mt 11:23,Lk 10:13,1 Co 10:6	to happen (come about)
ἐγενήθησαν	γίνομαι	-	-	aorist	passive	indicative	third person	plural	I become; it happens (3rd person sing.)	verb	4	-	Heb 11:34	to become (condition)
ἐγενήθησαν	γίνομαι	-	-	aorist	passive	indicative	third person	plural	I become; it happens (3rd person sing.)	verb	4	-	Mt 28:4	to become (change)
ἐγενήθητε	γίνομαι	-	-	aorist	passive	indicative	second person	plural	I become; it happens (3rd person sing.)	verb	4	-	Eph 2:13,1 Th 1:6,1 Th 2:8,1 Th 2:14,1 Pe 3:6	to become (condition)
ἐγενόμην	γίνομαι	-	-	aorist	middle	indicative	first person	singular	I become; it happens (3rd person sing.)	verb	4	-	Ac 20:18,Re 1:9	to be (somewhere)
ἐγενόμην	γίνομαι	-	-	aorist	middle	indicative	first person	singular	I become; it happens (3rd person sing.)	verb	4	-	Ac 26:19,Ro 10:20,1 Co 2:3,1 Co 9:20,1 Co 9:22,Col 1:23,Col 1:25,Re 1:10,Re 1:18,Re 4:2	to become (condition)
Ἐγένετο	γίνομαι	-	-	aorist	middle	indicative	third person	singular	I become; it happens (3rd person sing.)	verb	4	-	Ac 9:19	to be (somewhere)
Ἐγένετο	γίνομαι	-	-	aorist	middle	indicative	third person	singular	I become; it happens (3rd person sing.)	verb	4	-	Lk 1:5,Lk 1:8,Lk 2:1,Lk 2:6,Lk 3:21,Lk 5:1,Lk 6:1,Lk 6:6,Lk 6:12,Lk 8:22,Lk 9:28,Lk 9:37,Lk 9:51,Lk 11:27,Lk 18:35,Lk 22:24,Jn 3:25,Jn 10:22,Ac 4:5,Ac 5:7,Ac 8:1,Ac 9:32,Ac 9:43,Ac 14:1,Ac 16:16,Ac 19:1,Ac 19:23,Ac 22:6,Ac 22:17,Ac 28:17	to happen (come about)
Ἐγένετο	γίνομαι	-	-	aorist	middle	indicative	third person	singular	I become; it happens (3rd person sing.)	verb	4	-	Jn 1:6	to become existent
Ἐγένοντο	γίνομαι	-	-	aorist	middle	indicative	third person	plural	I become; it happens (3rd person sing.)	verb	4	-	2 Pe 2:1	to arrive ⇔ happen
γήμας	γαμέω	masculine	nominative	aorist	active	participle	-	singular	-	verb	-	-	Mt 22:25	to marry
γήμῃ	γαμέω	-	-	aorist	active	subjunctive	third person	singular	-	verb	-	-	1 Co 7:28	to marry
γαμήσας	γαμέω	masculine	nominative	aorist	active	participle	-	singular	-	verb	-	-	1 Co 7:33	to marry
γαμήσασα	γαμέω	feminine	nominative	aorist	active	participle	-	singular	-	verb	-	-	1 Co 7:34	to marry
γαμήσῃ	γαμέω	-	-	aorist	active	subjunctive	third person	singular	-	verb	-	-	Mt 5:32,Mt 19:9,Mk 10:11,Mk 10:12	to marry
γαμήσῃς	γαμέω	-	-	aorist	active	subjunctive	second person	singular	-	verb	-	-	1 Co 7:28	to marry
γαμείτωσαν	γαμέω	-	-	present	active	imperative	third person	plural	-	verb	-	-	1 Co 7:36	to marry
γαμεῖν	γαμέω	-	-	present	active	infinitive	-	-	-	verb	-	-	1 Ti 4:3,1 Ti 5:11,1 Ti 5:14	to marry
γαμηθῆναι	γαμέω	-	-	aorist	passive	infinitive	-	-	-	verb	-	-	1 Co 7:39	to get married
γαμησάτωσαν	γαμέω	-	-	aorist	active	imperative	third person	plural	-	verb	-	-	1 Co 7:9	to marry
γαμοῦντες	γαμέω	masculine	nominative	present	active	participle	-	plural	-	verb	-	-	Mt 24:38	to marry
γαμοῦσιν	γαμέω	-	-	present	active	indicative	third person	plural	-	verb	-	-	Mt 22:30,Mk 12:25,Lk 20:34,Lk 20:35	to marry
γαμῆσαι	γαμέω	-	-	aorist	active	infinitive	-	-	-	verb	-	-	Mt 19:10,1 Co 7:9	to marry
γαμῶν	γαμέω	masculine	nominative	present	active	participle	-	singular	-	verb	-	-	Lk 16:18,Lk 16:18	to marry
γεγαμηκόσιν	γαμέω	masculine	dative	perfect	active	participle	-	plural	-	verb	-	-	1 Co 7:10	to marry
ἐγάμησεν	γαμέω	-	-	aorist	active	indicative	third person	singular	-	verb	-	-	Mk 6:17	to marry
ἐγάμουν	γαμέω	-	-	imperfect	active	indicative	third person	plural	-	verb	-	-	Lk 17:27	to marry
ἔγημα	γαμέω	-	-	aorist	active	indicative	first person	singular	-	verb	-	-	Lk 14:20	to marry
γενεαί	γενεά	feminine	nominative	-	-	-	-	plural	-	noun	-	-	Lk 1:48	generation (people)
γενεαὶ	γενεά	feminine	nominative	-	-	-	-	plural	-	noun	-	-	Mt 1:17,Mt 1:17,Mt 1:17,Mt 1:17	generation (time)
γενεαῖς	γενεά	feminine	dative	-	-	-	-	plural	-	noun	-	-	Ac 14:16,Eph 3:5	generation (time)
γενεὰ	γενεά	feminine	nominative	-	-	-	-	singular	-	noun	-	-	Mt 12:39,Mt 16:4,Mk 8:12,Lk 11:29	generation (people)
γενεὰ	γενεά	feminine	nominative	-	-	-	-	singular	-	noun	-	-	Mt 24:34,Mk 13:30,Lk 11:29,Lk 21:32	generation (time)
γενεὰ	γενεά	feminine	vocative	-	-	-	-	singular	-	noun	-	-	Mt 17:17,Mk 9:19,Lk 9:41	generation (people)
γενεὰν	γενεά	feminine	accusative	-	-	-	-	singular	-	noun	-	-	Ac 8:33	generation (time)
γενεὰν	γενεά	feminine	accusative	-	-	-	-	singular	-	noun	-	-	Mt 11:16,Mt 23:36	generation (people)
γενεὰν	γενεά	feminine	accusative	-	-	-	-	singular	-	noun	-	-	Lk 16:8	kind generation
γενεὰς	γενεά	feminine	accusative	-	-	-	-	plural	-	noun	-	-	Lk 1:50,Lk 1:50,Eph 3:21	generation (time)
γενεᾶς	γενεά	feminine	genitive	-	-	-	-	singular	-	noun	-	-	Mt 12:41,Mt 12:42,Lk 7:31,Lk 11:31,Lk 11:32,Lk 11:50,Lk 11:51,Lk 17:25,Ac 2:40	generation (people)
γενεᾶς	γενεά	feminine	genitive	-	-	-	-	singular	-	noun	-	-	Php 2:15	generation (time)
γενεᾷ	γενεά	feminine	dative	-	-	-	-	singular	-	noun	-	-	Mt 12:45,Mk 8:12,Mk 8:38,Lk 11:30	generation (people)
γενεᾷ	γενεά	feminine	dative	-	-	-	-	singular	-	noun	-	-	Ac 13:36,Heb 3:10	generation (time)
γενεῶν	γενεά	feminine	genitive	-	-	-	-	plural	-	noun	-	-	Ac 15:21,Col 1:26	generation (time)
γεγέννηκά	γεννάω	-	-	perfect	active	indicative	first person	singular	I sire, beget; I give birth to	verb	6	-	Ac 13:33,Heb 1:5,Heb 5:5	to father
γεγέννημαι	γεννάω	-	-	perfect	passive	indicative	first person	singular	I sire, beget; I give birth to	verb	6	-	Jn 18:37,Ac 22:28	to be fathered
γεγέννηται	γεννάω	-	-	perfect	passive	indicative	third person	singular	I sire, beget; I give birth to	verb	6	-	Ga 4:23,1 Jn 2:29,1 Jn 4:7,1 Jn 5:1,1 Jn 3:9	to be fathered
γεγεννήμεθα	γεννάω	-	-	perfect	passive	indicative	first person	plural	I sire, beget; I give birth to	verb	6	-	Jn 8:41	to be fathered
γεγεννημένα	γεννάω	neuter	nominative	perfect	passive	participle	-	plural	I sire, beget; I give birth to	verb	6	-	2 Pe 2:12	to be born (state)
γεγεννημένον	γεννάω	neuter	nominative	perfect	passive	participle	-	singular	I sire, beget; I give birth to	verb	6	-	Jn 3:6,Jn 3:6,1 Jn 5:4	to be fathered
γεγεννημένον	γεννάω	masculine	accusative	perfect	passive	participle	-	singular	I sire, beget; I give birth to	verb	6	-	1 Jn 5:1	to be fathered
γεγεννημένος	γεννάω	masculine	nominative	perfect	passive	participle	-	singular	I sire, beget; I give birth to	verb	6	-	Jn 3:8,1 Jn 3:9,1 Jn 5:18	to be fathered
γεγεννημένος	γεννάω	masculine	nominative	perfect	passive	participle	-	singular	I sire, beget; I give birth to	verb	6	-	Ac 22:3	to be born (state)
γεγεννημένου	γεννάω	masculine	genitive	perfect	passive	participle	-	singular	I sire, beget; I give birth to	verb	6	-	Jn 9:32	to be born (state)
γεννήσαντα	γεννάω	masculine	accusative	aorist	active	participle	-	singular	I sire, beget; I give birth to	verb	6	-	1 Jn 5:1	to father
γεννήσει	γεννάω	-	-	future	active	indicative	third person	singular	I sire, beget; I give birth to	verb	6	-	Lk 1:13	to mother
γεννήσῃ	γεννάω	-	-	aorist	active	subjunctive	third person	singular	I sire, beget; I give birth to	verb	6	-	Jn 16:21	to bear (give birth)
γεννηθέντος	γεννάω	masculine	genitive	aorist	passive	participle	-	singular	I sire, beget; I give birth to	verb	6	-	Mt 2:1	to be born (state)
γεννηθέντων	γεννάω	masculine	genitive	aorist	passive	participle	-	plural	I sire, beget; I give birth to	verb	6	-	Ro 9:11	to be born (state)
γεννηθεὶς	γεννάω	masculine	nominative	aorist	passive	participle	-	singular	I sire, beget; I give birth to	verb	6	-	Ga 4:29,1 Jn 5:18	to be fathered
γεννηθεὶς	γεννάω	masculine	nominative	aorist	passive	participle	-	singular	I sire, beget; I give birth to	verb	6	-	Heb 11:23	to be born (state)
γεννηθὲν	γεννάω	neuter	nominative	aorist	passive	participle	-	singular	I sire, beget; I give birth to	verb	6	-	Mt 1:20	to be fathered
γεννηθῆναι	γεννάω	-	-	aorist	passive	infinitive	-	-	I sire, beget; I give birth to	verb	6	-	Jn 3:7	to be conceived from above, to be regenerated ⇔ be conceived again
γεννηθῆναι	γεννάω	-	-	aorist	passive	infinitive	-	-	I sire, beget; I give birth to	verb	6	-	Jn 3:4,Jn 3:4	to be fathered
γεννηθῇ	γεννάω	-	-	aorist	passive	subjunctive	third person	singular	I sire, beget; I give birth to	verb	6	-	Jn 3:3	to be conceived from above, to be regenerated ⇔ be conceived again
γεννηθῇ	γεννάω	-	-	aorist	passive	subjunctive	third person	singular	I sire, beget; I give birth to	verb	6	-	Jn 3:5	to be fathered
γεννηθῇ	γεννάω	-	-	aorist	passive	subjunctive	third person	singular	I sire, beget; I give birth to	verb	6	-	Jn 9:2	to be born (state)
γεννώμενον	γεννάω	neuter	nominative	present	passive	participle	-	singular	I sire, beget; I give birth to	verb	6	-	Lk 1:35	to be fathered
γεννᾶται	γεννάω	-	-	present	passive	indicative	third person	singular	I sire, beget; I give birth to	verb	6	-	Mt 2:4	to be born (state)
γεννῶσα	γεννάω	feminine	nominative	present	active	participle	-	singular	I sire, beget; I give birth to	verb	6	-	Ga 4:24	to mother
γεννῶσιν	γεννάω	-	-	present	active	indicative	third person	plural	I sire, beget; I give birth to	verb	6	-	2 Ti 2:23	to produce ⇔ beget
ἐγέννησα	γεννάω	-	-	aorist	active	indicative	first person	singular	I sire, beget; I give birth to	verb	6	-	1 Co 4:15,Phm 10	to disciple ⇔ father
ἐγέννησαν	γεννάω	-	-	aorist	active	indicative	third person	plural	I sire, beget; I give birth to	verb	6	-	Lk 23:29	to mother
ἐγέννησεν	γεννάω	-	-	aorist	active	indicative	third person	singular	I sire, beget; I give birth to	verb	6	-	Lk 1:57	to mother
ἐγέννησεν	γεννάω	-	-	aorist	active	indicative	third person	singular	I sire, beget; I give birth to	verb	6	-	Mt 1:2,Mt 1:2,Mt 1:2,Mt 1:3,Mt 1:3,Mt 1:3,Mt 1:4,Mt 1:4,Mt 1:4,Mt 1:5,Mt 1:5,Mt 1:5,Mt 1:6,Mt 1:6,Mt 1:7,Mt 1:7,Mt 1:7,Mt 1:8,Mt 1:8,Mt 1:8,Mt 1:9,Mt 1:9,Mt 1:9,Mt 1:10,Mt 1:10,Mt 1:10,Mt 1:11,Mt 1:12,Mt 1:12,Mt 1:13,Mt 1:13,Mt 1:13,Mt 1:14,Mt 1:14,Mt 1:14,Mt 1:15,Mt 1:15,Mt 1:15,Mt 1:16,Ac 7:8,Ac 7:29	to father
ἐγεννήθη	γεννάω	-	-	aorist	passive	indicative	third person	singular	I sire, beget; I give birth to	verb	6	-	Mt 26:24,Mk 14:21	to be fathered
ἐγεννήθη	γεννάω	-	-	aorist	passive	indicative	third person	singular	I sire, beget; I give birth to	verb	6	-	Jn 9:19,Jn 9:20,Jn 16:21,Ac 7:20	to be born (state)
ἐγεννήθη	γεννάω	-	-	aorist	passive	indicative	third person	singular	I sire, beget; I give birth to	verb	6	-	Mt 1:16	to mother
ἐγεννήθημεν	γεννάω	-	-	aorist	passive	indicative	first person	plural	I sire, beget; I give birth to	verb	6	-	Ac 2:8	to be born (state)
ἐγεννήθης	γεννάω	-	-	aorist	passive	indicative	second person	singular	I sire, beget; I give birth to	verb	6	-	Jn 9:34	to be born (state)
ἐγεννήθησαν	γεννάω	-	-	aorist	passive	indicative	third person	plural	I sire, beget; I give birth to	verb	6	-	Mt 19:12,Jn 1:13,Heb 11:12	to be fathered
γευσάμενος	γεύομαι	masculine	nominative	aorist	middle	participle	-	singular	-	verb	-	-	Mt 27:34	to taste
γευσάμενος	γεύομαι	masculine	nominative	aorist	middle	participle	-	singular	-	verb	-	-	Ac 20:11	to eat ⇔ to taste
γευσαμένους	γεύομαι	masculine	accusative	aorist	middle	participle	-	plural	-	verb	-	-	Heb 6:4,Heb 6:5	to experience ⇔ taste
γεύσασθαι	γεύομαι	-	-	aorist	middle	infinitive	-	-	-	verb	-	-	Ac 10:10,Ac 23:14	to eat ⇔ to taste
γεύσεταί	γεύομαι	-	-	future	middle	indicative	third person	singular	-	verb	-	-	Lk 14:24	to taste
γεύσηται	γεύομαι	-	-	aorist	middle	subjunctive	third person	singular	-	verb	-	-	Jn 8:52,Heb 2:9	to experience ⇔ taste
γεύσωνται	γεύομαι	-	-	aorist	middle	subjunctive	third person	plural	-	verb	-	-	Mt 16:28,Mk 9:1,Lk 9:27	to experience ⇔ taste
γεύσῃ	γεύομαι	-	-	aorist	middle	subjunctive	second person	singular	-	verb	-	-	Col 2:21	to taste
ἐγεύσασθε	γεύομαι	-	-	aorist	middle	indicative	second person	plural	-	verb	-	-	1 Pe 2:3	to experience ⇔ taste
ἐγεύσατο	γεύομαι	-	-	aorist	middle	indicative	third person	singular	-	verb	-	-	Jn 2:9	to taste
Γινώσκειν	γινώσκω	-	-	present	active	infinitive	-	-	I know; I understand, discern	verb	9	-	Php 1:12	to know (experientially)
Γινώσκετε	γινώσκω	-	-	present	active	indicative, imperative	second person	plural	I know; I understand, discern	verb	9	-	Heb 13:23	to know (experientially)
Γνοὺς	γινώσκω	masculine	nominative	aorist	active	participle	-	singular	I know; I understand, discern	verb	9	-	Mt 26:10,Ac 23:6	to perceive
γίνωσκε	γινώσκω	-	-	present	active	imperative	second person	singular	I know; I understand, discern	verb	9	-	2 Ti 3:1	to know (experientially)
γινωσκέτω	γινώσκω	-	-	present	active	imperative	third person	singular	I know; I understand, discern	verb	9	-	Ac 2:36,Jas 5:20	to know (experientially)
γινωσκέτω	γινώσκω	-	-	present	active	imperative	third person	singular	I know; I understand, discern	verb	9	-	Mt 9:30	to find out (learn)
γινωσκομένη	γινώσκω	feminine	nominative	present	passive	participle	-	singular	I know; I understand, discern	verb	9	-	2 Co 3:2	to be known (state)
γινώσκει	γινώσκω	-	-	present	active	indicative	third person	singular	I know; I understand, discern	verb	9	-	Mt 24:50,Lk 10:22,Lk 12:46,Lk 16:15,Jn 7:27,Jn 10:15,Jn 14:17,Ac 19:35,1 Co 3:20,1 Jn 3:20,1 Jn 4:7	to know (experientially)
γινώσκει	γινώσκω	-	-	present	active	indicative	third person	singular	I know; I understand, discern	verb	9	-	1 Jn 3:1	to grasp (intellectually)
γινώσκειν	γινώσκω	-	-	present	active	infinitive	-	-	I know; I understand, discern	verb	9	-	Jn 2:24	to know (experientially)
γινώσκεις	γινώσκω	-	-	present	active	indicative	second person	singular	I know; I understand, discern	verb	9	-	Ac 8:30	to grasp (intellectually)
γινώσκεις	γινώσκω	-	-	present	active	indicative	second person	singular	I know; I understand, discern	verb	9	-	Jn 1:48,Jn 3:10,Jn 21:17,Ro 2:18,2 Ti 1:18	to know (experientially)
γινώσκεις	γινώσκω	-	-	present	active	indicative	second person	singular	I know; I understand, discern	verb	9	-	Ac 21:37	to know how
γινώσκεται	γινώσκω	-	-	present	passive	indicative	third person	singular	I know; I understand, discern	verb	9	-	Mt 12:33,Lk 6:44	to be known (state)
γινώσκετε	γινώσκω	-	-	present	active	indicative, imperative	second person	plural	I know; I understand, discern	verb	9	-	Mt 24:43,Jn 15:18,Ga 3:7,1 Jn 4:2	to know (experientially)
γινώσκετε	γινώσκω	-	-	present	active	indicative	second person	plural	I know; I understand, discern	verb	9	-	Mt 16:3	to know how
γινώσκετε	γινώσκω	-	-	present	active	indicative, imperative	second person	plural	I know; I understand, discern	verb	9	-	Jn 13:12	to grasp (intellectually)
γινώσκετε	γινώσκω	-	-	present	active	indicative, imperative	second person	plural	I know; I understand, discern	verb	9	-	Mt 24:33	to perceive
γινώσκετε	γινώσκω	-	-	present	active	indicative	second person	plural	I know; I understand, discern	verb	9	-	Mk 13:28	to perceive
γινώσκετε	γινώσκω	-	-	present	active	indicative	second person	plural	I know; I understand, discern	verb	9	-	Mt 24:32,Lk 21:30,Jn 14:7,Jn 14:17,Ac 20:34,2 Co 8:9,Php 2:22,1 Jn 2:29	to know (experientially)
γινώσκετε	γινώσκω	-	-	present	active	imperative	second person	plural	I know; I understand, discern	verb	9	-	Mk 13:29,Lk 10:11,Lk 12:39,Lk 21:31	to know (experientially)
γινώσκετε	γινώσκω	-	-	present	active	indicative	second person	plural	I know; I understand, discern	verb	9	-	Jn 8:43	to grasp (intellectually)
γινώσκητε	γινώσκω	-	-	present	active	subjunctive	second person	plural	I know; I understand, discern	verb	9	-	Jn 10:38	to know (experientially)
γινώσκομεν	γινώσκω	-	-	present	active	indicative	first person	plural	I know; I understand, discern	verb	9	-	1 Co 13:9,2 Co 5:16,1 Jn 2:3,1 Jn 2:5,1 Jn 2:18,1 Jn 3:24,1 Jn 4:6,1 Jn 4:13,1 Jn 5:2	to know (experientially)
γινώσκοντες	γινώσκω	masculine	nominative	present	active	participle	-	plural	I know; I understand, discern	verb	9	-	Ro 6:6,Eph 5:5,Heb 10:34,Jas 1:3,2 Pe 1:20,2 Pe 3:3	to know (experientially)
γινώσκουσίν	γινώσκω	-	-	present	active	indicative	third person	plural	I know; I understand, discern	verb	9	-	Jn 10:14	to know (experientially)
γινώσκουσιν	γινώσκω	masculine	dative	present	active	participle	-	plural	I know; I understand, discern	verb	9	-	Ro 7:1	to know (experientially)
γινώσκω	γινώσκω	-	-	present	active	indicative	first person	singular	I know; I understand, discern	verb	9	-	Ro 7:15	to grasp (intellectually)
γινώσκω	γινώσκω	-	-	present	active	indicative	first person	singular	I know; I understand, discern	verb	9	-	Lk 1:34	to have intercourse ⇔ know
γινώσκω	γινώσκω	-	-	present	active	indicative	first person	singular	I know; I understand, discern	verb	9	-	Jn 10:14,Jn 10:15,Jn 10:27,Ac 19:15,1 Co 13:12	to know (experientially)
γινώσκωμεν	γινώσκω	-	-	present	active	subjunctive	first person	plural	I know; I understand, discern	verb	9	-	1 Jn 5:20	to know (experientially)
γινώσκων	γινώσκω	masculine	nominative	present	active	participle	-	singular	I know; I understand, discern	verb	9	-	Jn 7:49,1 Jn 4:6	to know (experientially)
γινώσκωσιν	γινώσκω	-	-	present	active	subjunctive	third person	plural	I know; I understand, discern	verb	9	-	Jn 17:3	to know (experientially)
γινώσκῃ	γινώσκω	-	-	present	active	subjunctive	third person	singular	I know; I understand, discern	verb	9	-	Jn 17:23	to know (experientially)
γνούς	γινώσκω	masculine	nominative	aorist	active	participle	-	singular	I know; I understand, discern	verb	9	-	Lk 12:48	to know (experientially)
γνοὺς	γινώσκω	masculine	nominative	aorist	active	participle	-	singular	I know; I understand, discern	verb	9	-	Mt 12:15	to perceive
γνοὺς	γινώσκω	masculine	nominative	aorist	active	participle	-	singular	I know; I understand, discern	verb	9	-	Mt 16:8,Mt 22:18,Mk 8:17,Lk 12:47,Jn 5:6,Jn 6:15,Php 2:19	to know (experientially)
γνοὺς	γινώσκω	masculine	nominative	aorist	active	participle	-	singular	I know; I understand, discern	verb	9	-	Mk 15:45	to find out (learn)
γνοῖ	γινώσκω	-	-	aorist	active	subjunctive	third person	singular	I know; I understand, discern	verb	9	-	Mk 5:43,Mk 9:30,Lk 19:15	to know (experientially)
γνωσθέντες	γινώσκω	masculine	nominative	aorist	passive	participle	-	plural	I know; I understand, discern	verb	9	-	Ga 4:9	to be known
γνωσθήσεται	γινώσκω	-	-	future	passive	indicative	third person	singular	I know; I understand, discern	verb	9	-	Mt 10:26,Lk 12:2,1 Co 14:7,1 Co 14:9	to be known (state)
γνωσθήτω	γινώσκω	-	-	aorist	passive	imperative	third person	singular	I know; I understand, discern	verb	9	-	Php 4:5	to be known (state)
γνωσθῇ	γινώσκω	-	-	aorist	passive	subjunctive	third person	singular	I know; I understand, discern	verb	9	-	Lk 8:17	to be known (state)
γνωσόμεθα	γινώσκω	-	-	future	middle	indicative	first person	plural	I know; I understand, discern	verb	9	-	1 Jn 3:19	to know (experientially)
γνόντα	γινώσκω	masculine	accusative	aorist	active	participle	-	singular	I know; I understand, discern	verb	9	-	2 Co 5:21	to know (experientially)
γνόντες	γινώσκω	masculine	nominative	aorist	active	participle	-	plural	I know; I understand, discern	verb	9	-	Mk 6:38,Ro 1:21,Ga 2:9,Ga 4:9	to know (experientially)
γνόντες	γινώσκω	masculine	nominative	aorist	active	participle	-	plural	I know; I understand, discern	verb	9	-	Lk 9:11	to find out (learn)
γνώσεσθε	γινώσκω	-	-	future	middle	indicative	second person	plural	I know; I understand, discern	verb	9	-	Jn 14:7	-
γνώσεσθε	γινώσκω	-	-	future	middle	indicative	second person	plural	I know; I understand, discern	verb	9	-	Mk 4:13,Jn 8:28,Jn 8:32,Jn 14:20,2 Co 13:6	to know (experientially)
γνώσεται	γινώσκω	-	-	future	middle	indicative	third person	singular	I know; I understand, discern	verb	9	-	Jn 7:17	to know (experientially)
γνώσομαι	γινώσκω	-	-	future	middle	indicative	first person	singular	I know; I understand, discern	verb	9	-	Lk 1:18,1 Co 4:19	to know (experientially)
γνώσονται	γινώσκω	-	-	future	middle	indicative	third person	plural	I know; I understand, discern	verb	9	-	Jn 13:35	to be known (state)
γνώσονται	γινώσκω	-	-	future	middle	indicative	third person	plural	I know; I understand, discern	verb	9	-	Ac 21:24,Re 2:23	to know (experientially)
γνώσῃ	γινώσκω	-	-	future	middle	indicative	second person	singular	I know; I understand, discern	verb	9	-	Jn 13:7	to grasp (intellectually)
γνώτω	γινώσκω	-	-	aorist	active	imperative	third person	singular	I know; I understand, discern	verb	9	-	Mt 6:3	to perceive
γνῶ	γινώσκω	-	-	aorist	active	subjunctive	first person	singular	I know; I understand, discern	verb	9	-	2 Co 2:9	to know (experientially)
γνῶθι	γινώσκω	-	-	aorist	active	imperative	second person	singular	I know; I understand, discern	verb	9	-	Heb 8:11	to know (experientially)
γνῶναί	γινώσκω	-	-	aorist	active	infinitive	-	-	I know; I understand, discern	verb	9	-	Eph 3:19	to know (experientially)
γνῶναι	γινώσκω	-	-	aorist	active	infinitive	-	-	I know; I understand, discern	verb	9	-	1 Co 2:14	to grasp (intellectually)
γνῶναι	γινώσκω	-	-	aorist	active	infinitive	-	-	I know; I understand, discern	verb	9	-	Mt 13:11,Mk 7:24,Lk 8:10,Ac 1:7,Ac 17:19,Ac 17:20,Ac 21:34,Ac 22:14,Ac 22:30,1 Co 8:2,Php 3:10,1 Th 3:5,Jas 2:20	to know (experientially)
γνῶσιν	γινώσκω	-	-	aorist	active	subjunctive	third person	plural	I know; I understand, discern	verb	9	-	Re 3:9	to know (experientially)
γνῶτε	γινώσκω	-	-	aorist	active	subjunctive	second person	plural	I know; I understand, discern	verb	9	-	Jn 10:38,Jn 19:4,2 Co 2:4,Eph 6:22,Col 4:8	to know (experientially)
γνῶτε	γινώσκω	-	-	aorist	active	imperative	second person	plural	I know; I understand, discern	verb	9	-	Lk 21:20	to know (experientially)
γνῷ	γινώσκω	-	-	aorist	active	subjunctive	third person	singular	I know; I understand, discern	verb	9	-	Jn 7:51,Jn 11:57,Jn 14:31	to know (experientially)
γνῷς	γινώσκω	-	-	aorist	active	subjunctive	second person	singular	I know; I understand, discern	verb	9	-	Re 3:3	to know (experientially)
ἐγίνωσκεν	γινώσκω	-	-	imperfect	active	indicative	third person	singular	I know; I understand, discern	verb	9	-	Mk 15:10	to perceive
ἐγίνωσκεν	γινώσκω	-	-	imperfect	active	indicative	third person	singular	I know; I understand, discern	verb	9	-	Lk 7:39,Jn 2:25	to know (experientially)
ἐγίνωσκεν	γινώσκω	-	-	imperfect	active	indicative	third person	singular	I know; I understand, discern	verb	9	-	Mt 1:25	to have intercourse ⇔ know
ἐγίνωσκον	γινώσκω	-	-	imperfect	active	indicative	third person	plural	I know; I understand, discern	verb	9	-	Lk 18:34	to know (discern)
ἐγνωκέναι	γινώσκω	-	-	perfect	active	infinitive	-	-	I know; I understand, discern	verb	9	-	1 Co 8:2	to know (experientially)
ἐγνωκότες	γινώσκω	masculine	nominative	perfect	active	participle	-	plural	I know; I understand, discern	verb	9	-	2 Jn 1	to know (experientially)
