Reference	Text
Jn 5:34	Not that the testimony that I receive is from man, but I say these things so that you may be saved. 
Jn 5:35	He was a burning and shining lamp, and you were willing to rejoice for a while in his light. 
Jn 5:36	But the testimony that I have is greater than that of John. For the works that the Father has given me to accomplish, the very works that I am doing, bear witness about me that the Father has sent me. 
Jn 5:37	And the Father who sent me has himself borne witness about me. His voice you have never heard, his form you have never seen, 
Jn 5:38	and you do not have his word abiding in you, for you do not believe the one whom he has sent. 
Jn 5:39	You search the Scriptures because you think that in them you have eternal life; and it is they that bear witness about me, 
Jn 5:40	yet you refuse to come to me that you may have life. 
Jn 5:41	I do not receive glory from people. 
Jn 5:42	But I know that you do not have the love of God within you. 
Jn 5:43	I have come in my Father’s name, and you do not receive me. If another comes in his own name, you will receive him. 
Jn 5:44	How can you believe, when you receive glory from one another and do not seek the glory that comes from the only God? 
Jn 5:45	Do not think that I will accuse you to the Father. There is one who accuses you: Moses, on whom you have set your hope. 
Jn 5:46	For if you believed Moses, you would believe me; for he wrote of me. 
Jn 5:47	But if you do not believe his writings, how will you believe my words?” 
Jn 6:1	After this Jesus went away to the other side of the Sea of Galilee, which is the Sea of Tiberias. 
Jn 6:2	And a large crowd was following him, because they saw the signs that he was doing on the sick. 
Jn 6:3	Jesus went up on the mountain, and there he sat down with his disciples. 
Jn 6:4	Now the Passover, the feast of the Jews, was at hand. 
Jn 6:5	Lifting up his eyes, then, and seeing that a large crowd was coming toward him, Jesus said to Philip, “Where are we to buy bread, so that these people may eat?” 
Jn 6:6	He said this to test him, for he himself knew what he would do. 
Jn 6:7	Philip answered him, “Two hundred denarii worth of bread would not be enough for each of them to get a little.” 
Jn 6:8	One of his disciples, Andrew, Simon Peter’s brother, said to him, 
Jn 6:9	“There is a boy here who has five barley loaves and two fish, but what are they for so many?” 
Jn 6:10	Jesus said, “Have the people sit down.” Now there was much grass in the place. So the men sat down, about five thousand in number. 
Jn 6:11	Jesus then took the loaves, and when he had given thanks, he distributed them to those who were seated. So also the fish, as much as they wanted. 
Jn 6:12	And when they had eaten their fill, he told his disciples, “Gather up the leftover fragments, that nothing may be lost.” 
Jn 6:13	So they gathered them up and filled twelve baskets with fragments from the five barley loaves left by those who had eaten. 
Jn 6:14	When the people saw the sign that he had done, they said, “This is indeed the Prophet who is to come into the world!” 
Jn 6:15	Perceiving then that they were about to come and take him by force to make him king, Jesus withdrew again to the mountain by himself. 
Jn 6:16	When evening came, his disciples went down to the sea, 
Jn 6:17	got into a boat, and started across the sea to Capernaum. It was now dark, and Jesus had not yet come to them. 
Jn 6:18	The sea became rough because a strong wind was blowing. 
Jn 6:19	When they had rowed about three or four miles, they saw Jesus walking on the sea and coming near the boat, and they were frightened. 
Jn 6:20	But he said to them, “It is I; do not be afraid.” 
Jn 6:21	Then they were glad to take him into the boat, and immediately the boat was at the land to which they were going. 
Jn 6:22	On the next day the crowd that remained on the other side of the sea saw that there had been only one boat there, and that Jesus had not entered the boat with his disciples, but that his disciples had gone away alone. 
Jn 6:23	Other boats from Tiberias came near the place where they had eaten the bread after the Lord had given thanks. 
Jn 6:24	So when the crowd saw that Jesus was not there, nor his disciples, they themselves got into the boats and went to Capernaum, seeking Jesus. 
Jn 6:25	When they found him on the other side of the sea, they said to him, “Rabbi, when did you come here?” 
Jn 6:26	Jesus answered them, “Truly, truly, I say to you, you are seeking me, not because you saw signs, but because you ate your fill of the loaves. 
Jn 6:27	Do not work for the food that perishes, but for the food that endures to eternal life, which the Son of Man will give to you. For on him God the Father has set his seal.” 
Jn 6:28	Then they said to him, “What must we do, to be doing the works of God?” 
Jn 6:29	Jesus answered them, “This is the work of God, that you believe in him whom he has sent.” 
Jn 6:30	So they said to him, “Then what sign do you do, that we may see and believe you? What work do you perform? 
Jn 6:31	Our fathers ate the manna in the wilderness; as it is written, ‘He gave them bread from heaven to eat.’ ” 
Jn 6:32	Jesus then said to them, “Truly, truly, I say to you, it was not Moses who gave you the bread from heaven, but my Father gives you the true bread from heaven. 
Jn 6:33	For the bread of God is he who comes down from heaven and gives life to the world.” 
Jn 6:34	They said to him, “Sir, give us this bread always.” 
Jn 6:35	Jesus said to them, “I am the bread of life; whoever comes to me shall not hunger, and whoever believes in me shall never thirst. 
Jn 6:36	But I said to you that you have seen me and yet do not believe. 
Jn 6:37	All that the Father gives me will come to me, and whoever comes to me I will never cast out. 
Jn 6:38	For I have come down from heaven, not to do my own will but the will of him who sent me. 
Jn 6:39	And this is the will of him who sent me, that I should lose nothing of all that he has given me, but raise it up on the last day. 
Jn 6:40	For this is the will of my Father, that everyone who looks on the Son and believes in him should have eternal life, and I will raise him up on the last day.” 
Jn 6:41	So the Jews grumbled about him, because he said, “I am the bread that came down from heaven.” 
Jn 6:42	They said, “Is not this Jesus, the son of Joseph, whose father and mother we know? How does he now say, ‘I have come down from heaven’?” 
Jn 6:43	Jesus answered them, “Do not grumble among yourselves. 
Jn 6:44	No one can come to me unless the Father who sent me draws him. And I will raise him up on the last day. 
Jn 6:45	It is written in the Prophets, ‘And they will all be taught by God.’ Everyone who has heard and learned from the Father comes to me— 
Jn 6:46	not that anyone has seen the Father except he who is from God; he has seen the Father. 
Jn 6:47	Truly, truly, I say to you, whoever believes has eternal life. 
Jn 6:48	I am the bread of life. 
Jn 6:49	Your fathers ate the manna in the wilderness, and they died. 
Jn 6:50	This is the bread that comes down from heaven, so that one may eat of it and not die. 
Jn 6:51	I am the living bread that came down from heaven. If anyone eats of this bread, he will live forever. And the bread that I will give for the life of the world is my flesh.” 
Jn 6:52	The Jews then disputed among themselves, saying, “How can this man give us his flesh to eat?” 
Jn 6:53	So Jesus said to them, “Truly, truly, I say to you, unless you eat the flesh of the Son of Man and drink his blood, you have no life in you. 
Jn 6:54	Whoever feeds on my flesh and drinks my blood has eternal life, and I will raise him up on the last day. 
Jn 6:55	For my flesh is true food, and my blood is true drink. 
Jn 6:56	Whoever feeds on my flesh and drinks my blood abides in me, and I in him. 
Jn 6:57	As the living Father sent me, and I live because of the Father, so whoever feeds on me, he also will live because of me. 
Jn 6:58	This is the bread that came down from heaven, not like the bread the fathers ate, and died. Whoever feeds on this bread will live forever.” 
Jn 6:59	Jesus said these things in the synagogue, as he taught at Capernaum. 
Jn 6:60	When many of his disciples heard it, they said, “This is a hard saying; who can listen to it?” 
