Reference	Abbr	Text
Revelation 17:4	Re 17:4	The woman was arrayed in purple and scarlet, and adorned with gold and jewels and pearls, holding in her hand a golden cup full of abominations and the impurities of her sexual immorality. 
Revelation 17:5	Re 17:5	And on her forehead was written a name of mystery: “Babylon the great, mother of prostitutes and of earth’s abominations.” 
Revelation 17:6	Re 17:6	And I saw the woman, drunk with the blood of the saints, the blood of the martyrs of Jesus.  When I saw her, I marveled greatly. 
Revelation 17:7	Re 17:7	But the angel said to me, “Why do you marvel? I will tell you the mystery of the woman, and of the beast with seven heads and ten horns that carries her. 
Revelation 17:8	Re 17:8	The beast that you saw was, and is not, and is about to rise from the bottomless pit and go to destruction. And the dwellers on earth whose names have not been written in the book of life from the foundation of the world will marvel to see the beast, because it was and is not and is to come. 
Revelation 17:9	Re 17:9	This calls for a mind with wisdom: the seven heads are seven mountains on which the woman is seated; 
Revelation 17:10	Re 17:10	they are also seven kings, five of whom have fallen, one is, the other has not yet come, and when he does come he must remain only a little while. 
Revelation 17:11	Re 17:11	As for the beast that was and is not, it is an eighth but it belongs to the seven, and it goes to destruction. 
Revelation 17:12	Re 17:12	And the ten horns that you saw are ten kings who have not yet received royal power, but they are to receive authority as kings for one hour, together with the beast. 
Revelation 17:13	Re 17:13	These are of one mind, and they hand over their power and authority to the beast. 
Revelation 17:14	Re 17:14	They will make war on the Lamb, and the Lamb will conquer them, for he is Lord of lords and King of kings, and those with him are called and chosen and faithful.” 
Revelation 17:15	Re 17:15	And the angel said to me, “The waters that you saw, where the prostitute is seated, are peoples and multitudes and nations and languages. 
Revelation 17:16	Re 17:16	And the ten horns that you saw, they and the beast will hate the prostitute. They will make her desolate and naked, and devour her flesh and burn her up with fire, 
Revelation 17:17	Re 17:17	for God has put it into their hearts to carry out his purpose by being of one mind and handing over their royal power to the beast, until the words of God are fulfilled. 
Revelation 17:18	Re 17:18	And the woman that you saw is the great city that has dominion over the kings of the earth.” 
Revelation 18:1	Re 18:1	After this I saw another angel coming down from heaven, having great authority, and the earth was made bright with his glory. 
Revelation 18:2	Re 18:2	And he called out with a mighty voice, “Fallen, fallen is Babylon the great!  She has become a dwelling place for demons, a haunt for every unclean spirit, a haunt for every unclean bird, a haunt for every unclean and detestable beast. 
Revelation 18:3	Re 18:3	For all nations have drunk the wine of the passion of her sexual immorality, and the kings of the earth have committed immorality with her, and the merchants of the earth have grown rich from the power of her luxurious living.” 
Revelation 18:4	Re 18:4	Then I heard another voice from heaven saying, “Come out of her, my people, lest you take part in her sins, lest you share in her plagues; 
Revelation 18:5	Re 18:5	for her sins are heaped high as heaven, and God has remembered her iniquities. 
Revelation 18:6	Re 18:6	Pay her back as she herself has paid back others, and repay her double for her deeds; mix a double portion for her in the cup she mixed. 
Revelation 18:7	Re 18:7	As she glorified herself and lived in luxury, so give her a like measure of torment and mourning, since in her heart she says, ‘I sit as a queen, I am no widow, and mourning I shall never see.’ 
Revelation 18:8	Re 18:8	For this reason her plagues will come in a single day, death and mourning and famine, and she will be burned up with fire; for mighty is the Lord God who has judged her.” 
Revelation 18:9	Re 18:9	And the kings of the earth, who committed sexual immorality and lived in luxury with her, will weep and wail over her when they see the smoke of her burning. 
Revelation 18:10	Re 18:10	They will stand far off, in fear of her torment, and say, “Alas! Alas! You great city, you mighty city, Babylon!  For in a single hour your judgment has come.” 
Revelation 18:11	Re 18:11	And the merchants of the earth weep and mourn for her, since no one buys their cargo anymore, 
Revelation 18:12	Re 18:12	cargo of gold, silver, jewels, pearls, fine linen, purple cloth, silk, scarlet cloth, all kinds of scented wood, all kinds of articles of ivory, all kinds of articles of costly wood, bronze, iron and marble, 
Revelation 18:13	Re 18:13	cinnamon, spice, incense, myrrh, frankincense, wine, oil, fine flour, wheat, cattle and sheep, horses and chariots, and slaves, that is, human souls. 
Revelation 18:14	Re 18:14	“The fruit for which your soul longed has gone from you, and all your delicacies and your splendors are lost to you, never to be found again!” 
Revelation 18:15	Re 18:15	The merchants of these wares, who gained wealth from her, will stand far off, in fear of her torment, weeping and mourning aloud, 
Revelation 18:16	Re 18:16	“Alas, alas, for the great city that was clothed in fine linen, in purple and scarlet, adorned with gold, with jewels, and with pearls! 
Revelation 18:17	Re 18:17	For in a single hour all this wealth has been laid waste.” And all shipmasters and seafaring men, sailors and all whose trade is on the sea, stood far off 
Revelation 18:18	Re 18:18	and cried out as they saw the smoke of her burning, “What city was like the great city?” 
Revelation 18:19	Re 18:19	And they threw dust on their heads as they wept and mourned, crying out, “Alas, alas, for the great city where all who had ships at sea grew rich by her wealth!  For in a single hour she has been laid waste. 
Revelation 18:20	Re 18:20	Rejoice over her, O heaven, and you saints and apostles and prophets, for God has given judgment for you against her!” 
Revelation 18:21	Re 18:21	Then a mighty angel took up a stone like a great millstone and threw it into the sea, saying, “So will Babylon the great city be thrown down with violence, and will be found no more; 
Revelation 18:22	Re 18:22	and the sound of harpists and musicians, of flute players and trumpeters, will be heard in you no more, and a craftsman of any craft will be found in you no more, and the sound of the mill will be heard in you no more, 
Revelation 18:23	Re 18:23	and the light of a lamp will shine in you no more, and the voice of bridegroom and bride will be heard in you no more, for your merchants were the great ones of the earth, and all nations were deceived by your sorcery. 
Revelation 18:24	Re 18:24	And in her was found the blood of prophets and of saints, and of all who have been slain on earth.” 
Revelation 19:1	Re 19:1	After this I heard what seemed to be the loud voice of a great multitude in heaven, crying out, “Hallelujah!  Salvation and glory and power belong to our God, 
Revelation 19:2	Re 19:2	for his judgments are true and just; for he has judged the great prostitute who corrupted the earth with her immorality, and has avenged on her the blood of his servants.” 
Revelation 19:3	Re 19:3	Once more they cried out, “Hallelujah!  The smoke from her goes up forever and ever.” 
Revelation 19:4	Re 19:4	And the twenty-four elders and the four living creatures fell down and worshiped God who was seated on the throne, saying, “Amen. Hallelujah!” 
Revelation 19:5	Re 19:5	And from the throne came a voice saying, “Praise our God, all you his servants, you who fear him, small and great.” 
Revelation 19:6	Re 19:6	Then I heard what seemed to be the voice of a great multitude, like the roar of many waters and like the sound of mighty peals of thunder, crying out, “Hallelujah!  For the Lord our God the Almighty reigns. 
Revelation 19:7	Re 19:7	Let us rejoice and exult and give him the glory, for the marriage of the Lamb has come, and his Bride has made herself ready; 
Revelation 19:8	Re 19:8	it was granted her to clothe herself with fine linen, bright and pure”— for the fine linen is the righteous deeds of the saints. 
Revelation 19:9	Re 19:9	And the angel said to me, “Write this: Blessed are those who are invited to the marriage supper of the Lamb.” And he said to me, “These are the true words of God.” 
Revelation 19:10	Re 19:10	Then I fell down at his feet to worship him, but he said to me, “You must not do that! I am a fellow servant with you and your brothers who hold to the testimony of Jesus. Worship God.” For the testimony of Jesus is the spirit of prophecy. 
Revelation 19:11	Re 19:11	Then I saw heaven opened, and behold, a white horse! The one sitting on it is called Faithful and True, and in righteousness he judges and makes war. 
Revelation 19:12	Re 19:12	His eyes are like a flame of fire, and on his head are many diadems, and he has a name written that no one knows but himself. 
Revelation 19:13	Re 19:13	He is clothed in a robe dipped in blood, and the name by which he is called is The Word of God. 
Revelation 19:14	Re 19:14	And the armies of heaven, arrayed in fine linen, white and pure, were following him on white horses. 
Revelation 19:15	Re 19:15	From his mouth comes a sharp sword with which to strike down the nations, and he will rule them with a rod of iron. He will tread the winepress of the fury of the wrath of God the Almighty. 
Revelation 19:16	Re 19:16	On his robe and on his thigh he has a name written, King of kings and Lord of lords. 
Revelation 19:17	Re 19:17	Then I saw an angel standing in the sun, and with a loud voice he called to all the birds that fly directly overhead, “Come, gather for the great supper of God, 
Revelation 19:18	Re 19:18	to eat the flesh of kings, the flesh of captains, the flesh of mighty men, the flesh of horses and their riders, and the flesh of all men, both free and slave, both small and great.” 
Revelation 19:19	Re 19:19	And I saw the beast and the kings of the earth with their armies gathered to make war against him who was sitting on the horse and against his army. 
Revelation 19:20	Re 19:20	And the beast was captured, and with it the false prophet who in its presence had done the signs by which he deceived those who had received the mark of the beast and those who worshiped its image. These two were thrown alive into the lake of fire that burns with sulfur. 
Revelation 19:21	Re 19:21	And the rest were slain by the sword that came from the mouth of him who was sitting on the horse, and all the birds were gorged with their flesh. 
Revelation 20:1	Re 20:1	Then I saw an angel coming down from heaven, holding in his hand the key to the bottomless pit and a great chain. 
Revelation 20:2	Re 20:2	And he seized the dragon, that ancient serpent, who is the devil and Satan, and bound him for a thousand years, 
Revelation 20:3	Re 20:3	and threw him into the pit, and shut it and sealed it over him, so that he might not deceive the nations any longer, until the thousand years were ended. After that he must be released for a little while. 
Revelation 20:4	Re 20:4	Then I saw thrones, and seated on them were those to whom the authority to judge was committed. Also I saw the souls of those who had been beheaded for the testimony of Jesus and for the word of God, and those who had not worshiped the beast or its image and had not received its mark on their foreheads or their hands. They came to life and reigned with Christ for a thousand years. 
Revelation 20:5	Re 20:5	The rest of the dead did not come to life until the thousand years were ended. This is the first resurrection. 
Revelation 20:6	Re 20:6	Blessed and holy is the one who shares in the first resurrection! Over such the second death has no power, but they will be priests of God and of Christ, and they will reign with him for a thousand years. 
Revelation 20:7	Re 20:7	And when the thousand years are ended, Satan will be released from his prison 
Revelation 20:8	Re 20:8	and will come out to deceive the nations that are at the four corners of the earth, Gog and Magog, to gather them for battle; their number is like the sand of the sea. 
Revelation 20:9	Re 20:9	And they marched up over the broad plain of the earth and surrounded the camp of the saints and the beloved city, but fire came down from heaven and consumed them, 
Revelation 20:10	Re 20:10	and the devil who had deceived them was thrown into the lake of fire and sulfur where the beast and the false prophet were, and they will be tormented day and night forever and ever. 
Revelation 20:11	Re 20:11	Then I saw a great white throne and him who was seated on it. From his presence earth and sky fled away, and no place was found for them. 
Revelation 20:12	Re 20:12	And I saw the dead, great and small, standing before the throne, and books were opened. Then another book was opened, which is the book of life. And the dead were judged by what was written in the books, according to what they had done. 
Revelation 20:13	Re 20:13	And the sea gave up the dead who were in it, Death and Hades gave up the dead who were in them, and they were judged, each one of them, according to what they had done. 
Revelation 20:14	Re 20:14	Then Death and Hades were thrown into the lake of fire. This is the second death, the lake of fire. 
Revelation 20:15	Re 20:15	And if anyone’s name was not found written in the book of life, he was thrown into the lake of fire. 
Revelation 21:1	Re 21:1	Then I saw a new heaven and a new earth, for the first heaven and the first earth had passed away, and the sea was no more. 
Revelation 21:2	Re 21:2	And I saw the holy city, new Jerusalem, coming down out of heaven from God, prepared as a bride adorned for her husband. 
Revelation 21:3	Re 21:3	And I heard a loud voice from the throne saying, “Behold, the dwelling place of God is with man. He will dwell with them, and they will be his people, and God himself will be with them as their God. 
Revelation 21:4	Re 21:4	He will wipe away every tear from their eyes, and death shall be no more, neither shall there be mourning, nor crying, nor pain anymore, for the former things have passed away.” 
Revelation 21:5	Re 21:5	And he who was seated on the throne said, “Behold, I am making all things new.” Also he said, “Write this down, for these words are trustworthy and true.” 
Revelation 21:6	Re 21:6	And he said to me, “It is done! I am the Alpha and the Omega, the beginning and the end. To the thirsty I will give from the spring of the water of life without payment. 
Revelation 21:7	Re 21:7	The one who conquers will have this heritage, and I will be his God and he will be my son. 
Revelation 21:8	Re 21:8	But as for the cowardly, the faithless, the detestable, as for murderers, the sexually immoral, sorcerers, idolaters, and all liars, their portion will be in the lake that burns with fire and sulfur, which is the second death.” 
Revelation 21:9	Re 21:9	Then came one of the seven angels who had the seven bowls full of the seven last plagues and spoke to me, saying, “Come, I will show you the Bride, the wife of the Lamb.” 
Revelation 21:10	Re 21:10	And he carried me away in the Spirit to a great, high mountain, and showed me the holy city Jerusalem coming down out of heaven from God, 
Revelation 21:11	Re 21:11	having the glory of God, its radiance like a most rare jewel, like a jasper, clear as crystal. 
Revelation 21:12	Re 21:12	It had a great, high wall, with twelve gates, and at the gates twelve angels, and on the gates the names of the twelve tribes of the sons of Israel were inscribed— 
Revelation 21:13	Re 21:13	on the east three gates, on the north three gates, on the south three gates, and on the west three gates. 
Revelation 21:14	Re 21:14	And the wall of the city had twelve foundations, and on them were the twelve names of the twelve apostles of the Lamb. 
Revelation 21:15	Re 21:15	And the one who spoke with me had a measuring rod of gold to measure the city and its gates and walls. 
Revelation 21:16	Re 21:16	The city lies foursquare, its length the same as its width. And he measured the city with his rod, 12,000 stadia. Its length and width and height are equal. 
Revelation 21:17	Re 21:17	He also measured its wall, 144 cubits by human measurement, which is also an angel’s measurement. 
Revelation 21:18	Re 21:18	The wall was built of jasper, while the city was pure gold, like clear glass. 
Revelation 21:19	Re 21:19	The foundations of the wall of the city were adorned with every kind of jewel. The first was jasper, the second sapphire, the third agate, the fourth emerald, 
Revelation 21:20	Re 21:20	the fifth onyx, the sixth carnelian, the seventh chrysolite, the eighth beryl, the ninth topaz, the tenth chrysoprase, the eleventh jacinth, the twelfth amethyst. 
Revelation 21:21	Re 21:21	And the twelve gates were twelve pearls, each of the gates made of a single pearl, and the street of the city was pure gold, like transparent glass. 
Revelation 21:22	Re 21:22	And I saw no temple in the city, for its temple is the Lord God the Almighty and the Lamb. 
Revelation 21:23	Re 21:23	And the city has no need of sun or moon to shine on it, for the glory of God gives it light, and its lamp is the Lamb. 
Revelation 21:24	Re 21:24	By its light will the nations walk, and the kings of the earth will bring their glory into it, 
Revelation 21:25	Re 21:25	and its gates will never be shut by day—and there will be no night there. 
Revelation 21:26	Re 21:26	They will bring into it the glory and the honor of the nations. 
Revelation 21:27	Re 21:27	But nothing unclean will ever enter it, nor anyone who does what is detestable or false, but only those who are written in the Lamb’s book of life. 
Revelation 22:1	Re 22:1	Then the angel showed me the river of the water of life, bright as crystal, flowing from the throne of God and of the Lamb 
Revelation 22:2	Re 22:2	through the middle of the street of the city; also, on either side of the river, the tree of life with its twelve kinds of fruit, yielding its fruit each month. The leaves of the tree were for the healing of the nations. 
Revelation 22:3	Re 22:3	No longer will there be anything accursed, but the throne of God and of the Lamb will be in it, and his servants will worship him. 
Revelation 22:4	Re 22:4	They will see his face, and his name will be on their foreheads. 
Revelation 22:5	Re 22:5	And night will be no more. They will need no light of lamp or sun, for the Lord God will be their light, and they will reign forever and ever. 
Revelation 22:6	Re 22:6	And he said to me, “These words are trustworthy and true. And the Lord, the God of the spirits of the prophets, has sent his angel to show his servants what must soon take place.” 
Revelation 22:7	Re 22:7	“And behold, I am coming soon. Blessed is the one who keeps the words of the prophecy of this book.” 
Revelation 22:8	Re 22:8	I, John, am the one who heard and saw these things. And when I heard and saw them, I fell down to worship at the feet of the angel who showed them to me, 
Revelation 22:9	Re 22:9	but he said to me, “You must not do that! I am a fellow servant with you and your brothers the prophets, and with those who keep the words of this book. Worship God.” 
Revelation 22:10	Re 22:10	And he said to me, “Do not seal up the words of the prophecy of this book, for the time is near. 
Revelation 22:11	Re 22:11	Let the evildoer still do evil, and the filthy still be filthy, and the righteous still do right, and the holy still be holy.” 
Revelation 22:12	Re 22:12	“Behold, I am coming soon, bringing my recompense with me, to repay each one for what he has done. 
Revelation 22:13	Re 22:13	I am the Alpha and the Omega, the first and the last, the beginning and the end.” 
Revelation 22:14	Re 22:14	Blessed are those who wash their robes, so that they may have the right to the tree of life and that they may enter the city by the gates. 
Revelation 22:15	Re 22:15	Outside are the dogs and sorcerers and the sexually immoral and murderers and idolaters, and everyone who loves and practices falsehood. 
Revelation 22:16	Re 22:16	“I, Jesus, have sent my angel to testify to you about these things for the churches. I am the root and the descendant of David, the bright morning star.” 
Revelation 22:17	Re 22:17	The Spirit and the Bride say, “Come.” And let the one who hears say, “Come.” And let the one who is thirsty come; let the one who desires take the water of life without price. 
Revelation 22:18	Re 22:18	I warn everyone who hears the words of the prophecy of this book: if anyone adds to them, God will add to him the plagues described in this book, 
Revelation 22:19	Re 22:19	and if anyone takes away from the words of the book of this prophecy, God will take away his share in the tree of life and in the holy city, which are described in this book. 
Revelation 22:20	Re 22:20	He who testifies to these things says, “Surely I am coming soon.” Amen. Come, Lord Jesus! 
Revelation 22:21	Re 22:21	The grace of the Lord Jesus be with all. Amen. 
Hebrews 1:1	Heb 1:1	Long ago, at many times and in many ways, God spoke to our fathers by the prophets, 
Hebrews 1:2	Heb 1:2	but in these last days he has spoken to us by his Son, whom he appointed the heir of all things, through whom also he created the world. 
Hebrews 1:3	Heb 1:3	He is the radiance of the glory of God and the exact imprint of his nature, and he upholds the universe by the word of his power. After making purification for sins, he sat down at the right hand of the Majesty on high, 
Hebrews 1:4	Heb 1:4	having become as much superior to angels as the name he has inherited is more excellent than theirs. 
Hebrews 1:5	Heb 1:5	For to which of the angels did God ever say, “You are my Son, today I have begotten you”?  Or again, “I will be to him a father, and he shall be to me a son”? 
Hebrews 1:6	Heb 1:6	And again, when he brings the firstborn into the world, he says, “Let all God’s angels worship him.” 
Hebrews 1:7	Heb 1:7	Of the angels he says, “He makes his angels winds, and his ministers a flame of fire.” 
Hebrews 1:8	Heb 1:8	But of the Son he says, “Your throne, O God, is forever and ever, the scepter of uprightness is the scepter of your kingdom. 
Hebrews 1:9	Heb 1:9	You have loved righteousness and hated wickedness; therefore God, your God, has anointed you with the oil of gladness beyond your companions.” 
Hebrews 1:10	Heb 1:10	And, “You, Lord, laid the foundation of the earth in the beginning, and the heavens are the work of your hands; 
Hebrews 1:11	Heb 1:11	they will perish, but you remain; they will all wear out like a garment, 
Hebrews 1:12	Heb 1:12	like a robe you will roll them up, like a garment they will be changed.  But you are the same, and your years will have no end.” 
Hebrews 1:13	Heb 1:13	And to which of the angels has he ever said, “Sit at my right hand until I make your enemies a footstool for your feet”? 
Hebrews 1:14	Heb 1:14	Are they not all ministering spirits sent out to serve for the sake of those who are to inherit salvation? 
Hebrews 2:1	Heb 2:1	Therefore we must pay much closer attention to what we have heard, lest we drift away from it. 
Hebrews 2:2	Heb 2:2	For since the message declared by angels proved to be reliable, and every transgression or disobedience received a just retribution, 
Hebrews 2:3	Heb 2:3	how shall we escape if we neglect such a great salvation? It was declared at first by the Lord, and it was attested to us by those who heard, 
Hebrews 2:4	Heb 2:4	while God also bore witness by signs and wonders and various miracles and by gifts of the Holy Spirit distributed according to his will. 
Hebrews 2:5	Heb 2:5	For it was not to angels that God subjected the world to come, of which we are speaking. 
Hebrews 2:6	Heb 2:6	It has been testified somewhere, “What is man, that you are mindful of him, or the son of man, that you care for him? 
Hebrews 2:7	Heb 2:7	You made him for a little while lower than the angels; you have crowned him with glory and honor, 
Hebrews 2:8	Heb 2:8	putting everything in subjection under his feet.” Now in putting everything in subjection to him, he left nothing outside his control. At present, we do not yet see everything in subjection to him. 
Hebrews 2:9	Heb 2:9	But we see him who for a little while was made lower than the angels, namely Jesus, crowned with glory and honor because of the suffering of death, so that by the grace of God he might taste death for everyone. 
Hebrews 2:10	Heb 2:10	For it was fitting that he, for whom and by whom all things exist, in bringing many sons to glory, should make the founder of their salvation perfect through suffering. 
Hebrews 2:11	Heb 2:11	For he who sanctifies and those who are sanctified all have one source. That is why he is not ashamed to call them brothers, 
Hebrews 2:12	Heb 2:12	saying, “I will tell of your name to my brothers; in the midst of the congregation I will sing your praise.” 
Hebrews 2:13	Heb 2:13	And again, “I will put my trust in him.” And again, “Behold, I and the children God has given me.” 
Hebrews 2:14	Heb 2:14	Since therefore the children share in flesh and blood, he himself likewise partook of the same things, that through death he might destroy the one who has the power of death, that is, the devil, 
Hebrews 2:15	Heb 2:15	and deliver all those who through fear of death were subject to lifelong slavery. 
Hebrews 2:16	Heb 2:16	For surely it is not angels that he helps, but he helps the offspring of Abraham. 
Hebrews 2:17	Heb 2:17	Therefore he had to be made like his brothers in every respect, so that he might become a merciful and faithful high priest in the service of God, to make propitiation for the sins of the people. 
Hebrews 2:18	Heb 2:18	For because he himself has suffered when tempted, he is able to help those who are being tempted. 
Hebrews 3:1	Heb 3:1	Therefore, holy brothers, you who share in a heavenly calling, consider Jesus, the apostle and high priest of our confession, 
Hebrews 3:2	Heb 3:2	who was faithful to him who appointed him, just as Moses also was faithful in all God’s house. 
Hebrews 3:3	Heb 3:3	For Jesus has been counted worthy of more glory than Moses—as much more glory as the builder of a house has more honor than the house itself. 
Hebrews 3:4	Heb 3:4	(For every house is built by someone, but the builder of all things is God.) 
Hebrews 3:5	Heb 3:5	Now Moses was faithful in all God’s house as a servant, to testify to the things that were to be spoken later, 
Hebrews 3:6	Heb 3:6	but Christ is faithful over God’s house as a son. And we are his house, if indeed we hold fast our confidence and our boasting in our hope. 
Hebrews 3:7	Heb 3:7	Therefore, as the Holy Spirit says, “Today, if you hear his voice, 
Hebrews 3:8	Heb 3:8	do not harden your hearts as in the rebellion, on the day of testing in the wilderness, 
Hebrews 3:9	Heb 3:9	where your fathers put me to the test and saw my works for forty years. 
Hebrews 3:10	Heb 3:10	Therefore I was provoked with that generation, and said, ‘They always go astray in their heart; they have not known my ways.’ 
Hebrews 3:11	Heb 3:11	As I swore in my wrath, ‘They shall not enter my rest.’ ” 
Hebrews 3:12	Heb 3:12	Take care, brothers, lest there be in any of you an evil, unbelieving heart, leading you to fall away from the living God. 
Hebrews 3:13	Heb 3:13	But exhort one another every day, as long as it is called “today,” that none of you may be hardened by the deceitfulness of sin. 
Hebrews 3:14	Heb 3:14	For we have come to share in Christ, if indeed we hold our original confidence firm to the end. 
Hebrews 3:15	Heb 3:15	As it is said, “Today, if you hear his voice, do not harden your hearts as in the rebellion.” 
Hebrews 3:16	Heb 3:16	For who were those who heard and yet rebelled? Was it not all those who left Egypt led by Moses? 
Hebrews 3:17	Heb 3:17	And with whom was he provoked for forty years? Was it not with those who sinned, whose bodies fell in the wilderness? 
Hebrews 3:18	Heb 3:18	And to whom did he swear that they would not enter his rest, but to those who were disobedient? 
Hebrews 3:19	Heb 3:19	So we see that they were unable to enter because of unbelief. 
Hebrews 4:1	Heb 4:1	Therefore, while the promise of entering his rest still stands, let us fear lest any of you should seem to have failed to reach it. 
Hebrews 4:2	Heb 4:2	For good news came to us just as to them, but the message they heard did not benefit them, because they were not united by faith with those who listened. 
Hebrews 4:3	Heb 4:3	For we who have believed enter that rest, as he has said, “As I swore in my wrath, ‘They shall not enter my rest,’ ” although his works were finished from the foundation of the world. 
Hebrews 4:4	Heb 4:4	For he has somewhere spoken of the seventh day in this way: “And God rested on the seventh day from all his works.” 
Hebrews 4:5	Heb 4:5	And again in this passage he said, “They shall not enter my rest.” 
Hebrews 4:6	Heb 4:6	Since therefore it remains for some to enter it, and those who formerly received the good news failed to enter because of disobedience, 
Hebrews 4:7	Heb 4:7	again he appoints a certain day, “Today,” saying through David so long afterward, in the words already quoted, “Today, if you hear his voice, do not harden your hearts.” 
Hebrews 4:8	Heb 4:8	For if Joshua had given them rest, God would not have spoken of another day later on. 
Hebrews 4:9	Heb 4:9	So then, there remains a Sabbath rest for the people of God, 
Hebrews 4:10	Heb 4:10	for whoever has entered God’s rest has also rested from his works as God did from his. 
Hebrews 4:11	Heb 4:11	Let us therefore strive to enter that rest, so that no one may fall by the same sort of disobedience. 
Hebrews 4:12	Heb 4:12	For the word of God is living and active, sharper than any two-edged sword, piercing to the division of soul and of spirit, of joints and of marrow, and discerning the thoughts and intentions of the heart. 
Hebrews 4:13	Heb 4:13	And no creature is hidden from his sight, but all are naked and exposed to the eyes of him to whom we must give account. 
Hebrews 4:14	Heb 4:14	Since then we have a great high priest who has passed through the heavens, Jesus, the Son of God, let us hold fast our confession. 
Hebrews 4:15	Heb 4:15	For we do not have a high priest who is unable to sympathize with our weaknesses, but one who in every respect has been tempted as we are, yet without sin. 
Hebrews 4:16	Heb 4:16	Let us then with confidence draw near to the throne of grace, that we may receive mercy and find grace to help in time of need. 
Hebrews 5:1	Heb 5:1	For every high priest chosen from among men is appointed to act on behalf of men in relation to God, to offer gifts and sacrifices for sins. 
Hebrews 5:2	Heb 5:2	He can deal gently with the ignorant and wayward, since he himself is beset with weakness. 
Hebrews 5:3	Heb 5:3	Because of this he is obligated to offer sacrifice for his own sins just as he does for those of the people. 
Hebrews 5:4	Heb 5:4	And no one takes this honor for himself, but only when called by God, just as Aaron was. 
Hebrews 5:5	Heb 5:5	So also Christ did not exalt himself to be made a high priest, but was appointed by him who said to him, “You are my Son, today I have begotten you”; 
Hebrews 5:6	Heb 5:6	as he says also in another place, “You are a priest forever, after the order of Melchizedek.” 
Hebrews 5:7	Heb 5:7	In the days of his flesh, Jesus offered up prayers and supplications, with loud cries and tears, to him who was able to save him from death, and he was heard because of his reverence. 
Hebrews 5:8	Heb 5:8	Although he was a son, he learned obedience through what he suffered. 
Hebrews 5:9	Heb 5:9	And being made perfect, he became the source of eternal salvation to all who obey him, 
Hebrews 5:10	Heb 5:10	being designated by God a high priest after the order of Melchizedek. 
Hebrews 5:11	Heb 5:11	About this we have much to say, and it is hard to explain, since you have become dull of hearing. 
Hebrews 5:12	Heb 5:12	For though by this time you ought to be teachers, you need someone to teach you again the basic principles of the oracles of God. You need milk, not solid food, 
Hebrews 5:13	Heb 5:13	for everyone who lives on milk is unskilled in the word of righteousness, since he is a child. 
Hebrews 5:14	Heb 5:14	But solid food is for the mature, for those who have their powers of discernment trained by constant practice to distinguish good from evil. 
Hebrews 6:1	Heb 6:1	Therefore let us leave the elementary doctrine of Christ and go on to maturity, not laying again a foundation of repentance from dead works and of faith toward God, 
Hebrews 6:2	Heb 6:2	and of instruction about washings, the laying on of hands, the resurrection of the dead, and eternal judgment. 
Hebrews 6:3	Heb 6:3	And this we will do if God permits. 
Hebrews 6:4	Heb 6:4	For it is impossible, in the case of those who have once been enlightened, who have tasted the heavenly gift, and have shared in the Holy Spirit, 
Hebrews 6:5	Heb 6:5	and have tasted the goodness of the word of God and the powers of the age to come, 
Hebrews 6:6	Heb 6:6	and then have fallen away, to restore them again to repentance, since they are crucifying once again the Son of God to their own harm and holding him up to contempt. 
Hebrews 6:7	Heb 6:7	For land that has drunk the rain that often falls on it, and produces a crop useful to those for whose sake it is cultivated, receives a blessing from God. 
Hebrews 6:8	Heb 6:8	But if it bears thorns and thistles, it is worthless and near to being cursed, and its end is to be burned. 
Hebrews 6:9	Heb 6:9	Though we speak in this way, yet in your case, beloved, we feel sure of better things—things that belong to salvation. 
Hebrews 6:10	Heb 6:10	For God is not unjust so as to overlook your work and the love that you have shown for his name in serving the saints, as you still do. 
Hebrews 6:11	Heb 6:11	And we desire each one of you to show the same earnestness to have the full assurance of hope until the end, 
Hebrews 6:12	Heb 6:12	so that you may not be sluggish, but imitators of those who through faith and patience inherit the promises. 
Hebrews 6:13	Heb 6:13	For when God made a promise to Abraham, since he had no one greater by whom to swear, he swore by himself, 
Hebrews 6:14	Heb 6:14	saying, “Surely I will bless you and multiply you.” 
Hebrews 6:15	Heb 6:15	And thus Abraham, having patiently waited, obtained the promise. 
Hebrews 6:16	Heb 6:16	For people swear by something greater than themselves, and in all their disputes an oath is final for confirmation. 
Hebrews 6:17	Heb 6:17	So when God desired to show more convincingly to the heirs of the promise the unchangeable character of his purpose, he guaranteed it with an oath, 
Hebrews 6:18	Heb 6:18	so that by two unchangeable things, in which it is impossible for God to lie, we who have fled for refuge might have strong encouragement to hold fast to the hope set before us. 
Hebrews 6:19	Heb 6:19	We have this as a sure and steadfast anchor of the soul, a hope that enters into the inner place behind the curtain, 
Hebrews 6:20	Heb 6:20	where Jesus has gone as a forerunner on our behalf, having become a high priest forever after the order of Melchizedek. 
Hebrews 7:1	Heb 7:1	For this Melchizedek, king of Salem, priest of the Most High God, met Abraham returning from the slaughter of the kings and blessed him, 
Hebrews 7:2	Heb 7:2	and to him Abraham apportioned a tenth part of everything. He is first, by translation of his name, king of righteousness, and then he is also king of Salem, that is, king of peace. 
Hebrews 7:3	Heb 7:3	He is without father or mother or genealogy, having neither beginning of days nor end of life, but resembling the Son of God he continues a priest forever. 
Hebrews 7:4	Heb 7:4	See how great this man was to whom Abraham the patriarch gave a tenth of the spoils! 
Hebrews 7:5	Heb 7:5	And those descendants of Levi who receive the priestly office have a commandment in the law to take tithes from the people, that is, from their brothers, though these also are descended from Abraham. 
